corpus	level	tfidf_cluster	semantic_cluster	overlap_papers	tfidf_size	semantic_size	jaccard	overlap_work_ids
audited	subcluster	S20	S02	5	22	17	0.14705882352941177	w_92e78fbf258ed40a,w_e93a08062ac7d030,w_3addefc2ae588ee1,w_c053dda032e0c8cc,w_3a2ad5f9386e827d
audited	subcluster	S08	S24	3	17	8	0.13636363636363635	w_d27b97e00fa37f8b,w_0c85822618800428,w_daee53647d83a6c7
audited	subcluster	S22	S04	5	29	16	0.125	w_16cd2ac0aa2264b5,w_06e9a506745ea5b3,w_3f93613f81a9c243,w_fd9f2541bd4039ab,w_9452d90c60267b86
audited	subcluster	S20	S23	5	22	24	0.12195121951219512	w_7642d8c74152ab9f,w_8d71fca6fabfe6c0,w_83ff2605b95d13cd,w_b1a722c7add3a18c,w_97808c92883566a2
audited	subcluster	S05	S17	4	22	16	0.11764705882352941	w_811a8cd021958e82,w_cddfb17d263e3744,w_45a112f0ccfe5c13,w_25ba5099b834e43a
audited	subcluster	S04	S14	5	21	28	0.11363636363636363	w_8a9381903c1dcd61,w_055282d4fa8fa8da,w_c0722915b2be1f88,w_86f10686a7226020,w_c31a237682405c3b
audited	subcluster	S18	S09	2	11	9	0.1111111111111111	w_44f0475d18d1ae59,w_ae5660e37ed8d376
audited	subcluster	S20	S01	3	22	10	0.10344827586206896	w_83b81c26c357f6b1,w_cb00fb1bab7f3b7f,w_7478c4587d99ea18
audited	subcluster	S19	S11	4	18	26	0.1	w_a68b84330ed82b99,w_982bda5c1d37d537,w_e3daf00bfe8e1caf,w_a9cb982ac7d47107
audited	subcluster	S08	S05	3	17	16	0.1	w_33d1c931feca94ec,w_76ba52abd948ee75,w_3e42f09a386d12e1
audited	subcluster	S03	S14	5	28	28	0.09803921568627451	w_15e8cda2ffdcc159,w_0299d6e9ee8584a8,w_dc093e37a5dc7bb6,w_8da6fd53fb3f9060,w_6cff01a295cd62bc
audited	subcluster	S22	S05	4	29	16	0.0975609756097561	w_310671f6b2320a54,w_fa8cd24377d5c54b,w_fb96317e98530db8,w_a102e93eb2f0b4fe
audited	subcluster	S10	S21	3	14	20	0.0967741935483871	w_9b4cd178ad4adfab,w_b0c3a03ae75a81b6,w_b2e7ff70b4aa448d
audited	subcluster	S19	S05	3	18	16	0.0967741935483871	w_0a81fc2513bfcc09,w_f1b4b88248a84fdc,w_8bb54bfea1acc1db
audited	subcluster	S17	S05	2	7	16	0.09523809523809523	w_47bf4f8fc88f3cb8,w_afd5289886580185
audited	subcluster	S20	S03	3	22	13	0.09375	w_bc4f45853b89dbdc,w_e929aef5f663e086,w_c630442fbffca0c4
audited	subcluster	S13	S03	2	12	13	0.08695652173913043	w_5dad8438d08739da,w_008eb0f516b85fd6
audited	subcluster	S20	S04	3	22	16	0.08571428571428572	w_094c3309bf13cd4c,w_e44f0fcfe85badcc,w_a87063a6344e999f
audited	subcluster	S22	S01	3	29	10	0.08333333333333333	w_17af690426c77e5f,w_7636520e4c22ae54,w_aef0b7ca715aca7b
audited	subcluster	S25	S04	3	23	16	0.08333333333333333	w_7209270e01aef2a8,w_8ab30e3889d447fc,w_ce559350ab146c7f
audited	subcluster	S19	S09	2	18	9	0.08	w_196fc85332b551c5,w_0434419d04af1ffa
audited	subcluster	S22	S03	3	29	13	0.07692307692307693	w_4d72f64019a5d816,w_256904d2b1ec4eea,w_4450b32daf450669
audited	subcluster	S08	S03	2	17	13	0.07142857142857142	w_f94f564014be4c25,w_29ea95f17f21c7ac
audited	subcluster	S21	S02	3	32	17	0.06521739130434782	w_e13ee6a2cef1e035,w_3d849b1308457c8a,w_33b529766cc60dd2
audited	subcluster	S08	S17	2	17	16	0.06451612903225806	w_4ea8cb6a3b5fed46,w_f4d58aaa5b0434b2
audited	subcluster	S05	S13	2	22	12	0.0625	w_f3172e652cebe4b6,w_5fc248e95ef96553
audited	subcluster	S19	S04	2	18	16	0.0625	w_65f428d0eb05342f,w_c4c37ad693a0f63e
audited	subcluster	S02	S22	1	9	8	0.0625	w_a124ea491b1e38a3
audited	subcluster	S07	S24	1	9	8	0.0625	w_3144bdd83cd17ac0
audited	subcluster	S01	S12	2	11	24	0.06060606060606061	w_d12533ac9aa3bdae,w_f5760f8154c234f6
audited	subcluster	S03	S22	2	28	8	0.058823529411764705	w_63db75cd5e03c2b8,w_2b77293cdef4c93f
audited	subcluster	S13	S11	2	12	26	0.05555555555555555	w_042e2240de24720b,w_6408d8e4b06627c9
audited	subcluster	S18	S24	1	11	8	0.05555555555555555	w_8dc658fd6956f31c
audited	subcluster	S05	S20	2	22	17	0.05405405405405406	w_c569341f9f7b5f6f,w_71088ab66e735f6d
audited	subcluster	S25	S17	2	23	16	0.05405405405405406	w_4dde14dbe58ab00c,w_d68d0884ffdb9426
audited	subcluster	S21	S24	2	32	8	0.05263157894736842	w_a6ec62ef7863cd72,w_4c22283998c8f0ca
audited	subcluster	S13	S22	1	12	8	0.05263157894736842	w_7ced2a0538a6bf26
audited	subcluster	S18	S01	1	11	10	0.05	w_943e3e1497c6a620
audited	subcluster	S21	S13	2	32	12	0.047619047619047616	w_c8aa82534e05dc80,w_500a287f07071ec8
audited	subcluster	S02	S03	1	9	13	0.047619047619047616	w_d930a0988351d6a9
audited	subcluster	S10	S19	1	14	8	0.047619047619047616	w_dd8fdb677c189adf
audited	subcluster	S11	S19	1	14	8	0.047619047619047616	w_4cc49e7d299cfe8c
audited	subcluster	S14	S08	1	10	12	0.047619047619047616	w_92e74bd4c6d552b0
audited	subcluster	S04	S23	2	21	24	0.046511627906976744	w_07d5eb02f4e65497,w_dff3d1da5e63f8e0
audited	subcluster	S21	S06	2	32	13	0.046511627906976744	w_f0e2a64299044bb4,w_dd6e6d084bbc1493
audited	subcluster	S22	S17	2	29	16	0.046511627906976744	w_50a8d749e31274a5,w_49fbb6adb4c71e00
audited	subcluster	S05	S12	2	22	24	0.045454545454545456	w_0c4ffd6cc3a55132,w_afad86afa06c34cd
audited	subcluster	S05	S23	2	22	24	0.045454545454545456	w_988674ea0e8c1cb7,w_51bb6c4d6e676885
audited	subcluster	S11	S09	1	14	9	0.045454545454545456	w_dd1317747d73d644
audited	subcluster	S25	S12	2	23	24	0.044444444444444446	w_9f73d3436486bd59,w_4c3b5856ae66ad33
audited	subcluster	S05	S11	2	22	26	0.043478260869565216	w_e7fededba00d2282,w_6dca211542b22757
audited	subcluster	S22	S21	2	29	20	0.0425531914893617	w_d8d988a779b74559,w_529fa77099ab7d4e
audited	subcluster	S25	S11	2	23	26	0.0425531914893617	w_4fb0e43097e56826,w_040112c409ede931
audited	subcluster	S05	S14	2	22	28	0.041666666666666664	w_b19041cd869bacfa,w_96f6c1c0e6b85513
audited	subcluster	S02	S04	1	9	16	0.041666666666666664	w_28c10566bff3c19f
audited	subcluster	S08	S19	1	17	8	0.041666666666666664	w_89fd2479381ba2a1
audited	subcluster	S08	S22	1	17	8	0.041666666666666664	w_9f42a69c53e47f06
audited	subcluster	S07	S20	1	9	17	0.04	w_0ff86e6a31e1d145
audited	subcluster	S18	S05	1	11	16	0.038461538461538464	w_dee1d8642fb8ec4d
audited	subcluster	S22	S11	2	29	26	0.03773584905660377	w_217259c652559d80,w_125db4c2cf79214e
audited	subcluster	S01	S02	1	11	17	0.037037037037037035	w_b7f8f8cdd2e2b20c
audited	subcluster	S13	S04	1	12	16	0.037037037037037035	w_de53e52135814667
audited	subcluster	S05	S07	1	22	7	0.03571428571428571	w_78af69834e46633e
