corpus	level	tfidf_cluster	semantic_cluster	overlap_papers	tfidf_size	semantic_size	jaccard	overlap_work_ids
audited	macro	M01	M06	41	48	64	0.5774647887323944	w_a5e46f75ed09651c,w_66f94b2437b7dc7a,w_15e8cda2ffdcc159,w_584c8d983c92b47f,w_c05e2ba02fa11716,w_00352f2c07e55403,w_fc836b91e5d6562b,w_2c0c064d65d2971a,w_a98ab65706b90112,w_02b805ef4183bf30,w_2dc38e0d59add635,w_445558f210a709ae,w_7d49d4691f9f672f,w_adc88773b79a9aaa,w_81d6e36f6ecc9ed2,w_d12533ac9aa3bdae,w_27942ed36ff06a48,w_0299d6e9ee8584a8,w_693b9d7d5ee66702,w_27485161163b4c42,w_667c790db241c1aa,w_c220d86171080ff7,w_7ff07b360090f82a,w_9cb7d6dc1b5717cd,w_01e15d37549ba1fc,w_9f65ba32c1a08d74,w_f5760f8154c234f6,w_ee8ec07c31be9d3c,w_dbd268417dd9318a,w_d59f0794873b2140,w_dc093e37a5dc7bb6,w_f05eeedb3d84fbb7,w_cb13b05644b72dd1,w_8da6fd53fb3f9060,w_6cff01a295cd62bc,w_df6db03591377b6c,w_2da86842e38bab70,w_b5ca64f35ddf125e,w_f5f5600670f31041,w_04b9b5a3d5792aa4,w_e5708a67b277cfbd
audited	macro	M05	M08	24	30	47	0.4528301886792453	w_9b4cd178ad4adfab,w_2f8927f68568913d,w_0f9196b38bcf5602,w_ba81662b1200a880,w_b0c3a03ae75a81b6,w_13098e9f9412a76e,w_78fdd214482004dc,w_b16a0b414fee96f6,w_b2e7ff70b4aa448d,w_6b6ef9dd4b6a2923,w_4dbf08f598cd567b,w_784ebe5b0f073f56,w_f6a044308e277e6f,w_0daa43451a63b0d5,w_27f0a0911b68ee3a,w_87dd30b387a36df9,w_34505df745b929e9,w_4c59d2e23a4fc16d,w_ca22559e045ae009,w_7a781449242321ca,w_dd8fdb677c189adf,w_4cc49e7d299cfe8c,w_6ab1d89d9c4e7dd2,w_5c54f66764cf4f97
audited	macro	M04	M10	12	26	21	0.34285714285714286	w_ee7cdd8c7d281656,w_3144bdd83cd17ac0,w_87462cebc24e3c1e,w_cbbadc97bc1c553c,w_703971b3ad96268c,w_d27b97e00fa37f8b,w_0c85822618800428,w_cf357442f5aa7893,w_e1dd76d318faa330,w_de78b34865a33cc1,w_daee53647d83a6c7,w_5362be8fefcfa6c2
audited	macro	M02	M07	13	43	22	0.25	w_c05624cc0be4c2cb,w_811a8cd021958e82,w_aaa017a83700f80c,w_cddfb17d263e3744,w_45a112f0ccfe5c13,w_35bf58ca4093d76e,w_1414f43f732405e6,w_035e7977c618391e,w_25ba5099b834e43a,w_e290bc51cfc6cc89,w_248da8719a3b92f1,w_8c5442dfb760aae0,w_216dc523ea90641f
audited	macro	M10	M05	36	128	55	0.24489795918367346	w_8686cbb9af9f8fa5,w_8bf24f4dbe9ac287,w_8d4fdc1ea9b8170d,w_a68b84330ed82b99,w_a68de8b27948098c,w_982bda5c1d37d537,w_4fb0e43097e56826,w_03d844719fb9df34,w_18bd4894e38b3c30,w_f929db1156ad72b9,w_a78497f1c2544ef9,w_b7c2381a27c702c4,w_31d5e4082601879a,w_196fc85332b551c5,w_183237c2b47ef789,w_6bc585648f75a51c,w_09f63ee8fae242b4,w_040112c409ede931,w_4c4c957af0f57b2d,w_803c8143ecd499c2,w_e4f4c4e47cf2bb24,w_2848c4070ebd2893,w_e3daf00bfe8e1caf,w_3f4213b6cde6e5f0,w_6a9409d4892f5b2e,w_a9cb982ac7d47107,w_0434419d04af1ffa,w_6ab9ecac32c07a9d,w_836f9ea39dbbe203,w_820056212d8d8746,w_217259c652559d80,w_125db4c2cf79214e,w_9eb59bc5a9947867,w_a895d12c14921630,w_e117d573dbd1bc5f,w_088b931ffe5cee0f
audited	macro	M06	M09	11	25	32	0.2391304347826087	w_7ced2a0538a6bf26,w_47f0ccb3e2ec3eac,w_1729badd7318419a,w_a6027fec6ac3ab9a,w_8af770f5f86d5ac0,w_0308d55890a5b9c6,w_85b812c5c78e647c,w_cf6cf36d9750b226,w_4ae2e575bb61224a,w_7afa59979906b85f,w_0b1eb64b020ee8c4
audited	macro	M09	M03	7	18	29	0.175	w_3e38a37eef49442d,w_47bf4f8fc88f3cb8,w_afd5289886580185,w_324dfcccfb988427,w_0f0102a18c705ec7,w_dee1d8642fb8ec4d,w_892700b85dd7550d
audited	macro	M10	M02	21	128	29	0.15441176470588236	w_094c3309bf13cd4c,w_16cd2ac0aa2264b5,w_4d72f64019a5d816,w_e44f0fcfe85badcc,w_bc4f45853b89dbdc,w_a87063a6344e999f,w_7209270e01aef2a8,w_65f428d0eb05342f,w_06e9a506745ea5b3,w_92e7bb6a674a7aa3,w_e929aef5f663e086,w_8ab30e3889d447fc,w_c630442fbffca0c4,w_702044b6725a459d,w_256904d2b1ec4eea,w_3f93613f81a9c243,w_ce559350ab146c7f,w_fd9f2541bd4039ab,w_9452d90c60267b86,w_c4c37ad693a0f63e,w_4450b32daf450669
audited	macro	M06	M05	10	25	55	0.14285714285714285	w_042e2240de24720b,w_848983c423304f71,w_a1ccd9bf44a17fd9,w_39ca6ff1e5e8821c,w_6408d8e4b06627c9,w_b034caed584efd9c,w_92e74bd4c6d552b0,w_83e64ad84caa32d8,w_b73fd2a4553849d2,w_b1b2841abfaf8ef2
audited	macro	M02	M06	13	43	64	0.13829787234042554	w_0c4ffd6cc3a55132,w_afad86afa06c34cd,w_9db7d6568bb89686,w_8a9381903c1dcd61,w_055282d4fa8fa8da,w_9db09dfae393db2b,w_c0722915b2be1f88,w_86f10686a7226020,w_c31a237682405c3b,w_b19041cd869bacfa,w_f3172e652cebe4b6,w_5fc248e95ef96553,w_96f6c1c0e6b85513
audited	macro	M03	M08	6	6	47	0.1276595744680851	w_3d415e237f7c4f65,w_679c49d202c94f8e,w_3a9d20d4ea381a66,w_d18730b289f06c03,w_6fc4c4ab9c9916f7,w_6ffbda57ab6a27ae
audited	macro	M09	M01	5	18	27	0.125	w_a3b0abb58a5c08a7,w_20e6e75b99ee90d7,w_71b6d6ab5f4c7549,w_943e3e1497c6a620,w_abf120cd18b386a4
audited	macro	M10	M03	17	128	29	0.12142857142857143	w_310671f6b2320a54,w_c07a59665ec95bc8,w_fa8cd24377d5c54b,w_fb96317e98530db8,w_f0e2a64299044bb4,w_a102e93eb2f0b4fe,w_928be1de7f678ed8,w_06d338196c012d5f,w_ad515c0bfb86662d,w_f02966985885da33,w_5d1e32d2e724c9ae,w_0a81fc2513bfcc09,w_f1b4b88248a84fdc,w_8bb54bfea1acc1db,w_be7a6d5176757697,w_024427dec8189e9e,w_dd6e6d084bbc1493
audited	macro	M10	M01	16	128	27	0.11510791366906475	w_92e78fbf258ed40a,w_83b81c26c357f6b1,w_ef661d9c28381b11,w_17af690426c77e5f,w_b9bc4d3bac625b6d,w_cb00fb1bab7f3b7f,w_7636520e4c22ae54,w_e93a08062ac7d030,w_3addefc2ae588ee1,w_c053dda032e0c8cc,w_3a2ad5f9386e827d,w_aef0b7ca715aca7b,w_e13ee6a2cef1e035,w_3d849b1308457c8a,w_7478c4587d99ea18,w_33b529766cc60dd2
audited	macro	M05	M10	4	30	21	0.0851063829787234	w_ab07437d78318352,w_f1324a7120d5d1bd,w_82bddad1cc78d3a0,w_38e23f5995c71d9b
audited	macro	M08	M01	2	2	27	0.07407407407407407	w_5230ec460b7adaac,w_9060ed95d2a7d552
audited	macro	M02	M09	5	43	32	0.07142857142857142	w_07d5eb02f4e65497,w_988674ea0e8c1cb7,w_dff3d1da5e63f8e0,w_4ec0813caf380920,w_51bb6c4d6e676885
audited	macro	M10	M09	10	128	32	0.06666666666666667	w_3f7299052e18118d,w_7642d8c74152ab9f,w_308c48dc4aaa9e3f,w_8d71fca6fabfe6c0,w_83ff2605b95d13cd,w_1ab7ec580940888c,w_b1a722c7add3a18c,w_d3fbcea1a7016c21,w_e0964d9cc077c1f7,w_97808c92883566a2
audited	macro	M06	M02	3	25	29	0.058823529411764705	w_5dad8438d08739da,w_de53e52135814667,w_008eb0f516b85fd6
audited	macro	M04	M08	4	26	47	0.057971014492753624	w_0ff86e6a31e1d145,w_dcf16633f7a33b13,w_63d2efb7962dd788,w_89fd2479381ba2a1
audited	macro	M09	M05	4	18	55	0.057971014492753624	w_44f0475d18d1ae59,w_66063956acd1233b,w_ae5660e37ed8d376,w_4ed5458b1772d1f2
audited	macro	M04	M03	3	26	29	0.057692307692307696	w_33d1c931feca94ec,w_76ba52abd948ee75,w_3e42f09a386d12e1
audited	macro	M10	M08	9	128	47	0.05421686746987952	w_d8d988a779b74559,w_8d615b510d4fdfec,w_4ae4e61584b523a8,w_28a1f31e8ca599b0,w_e219fcd05aa4ac72,w_529fa77099ab7d4e,w_f15bfc4589f93e42,w_b0bbf9007eb97544,w_662491c7dd0e3662
audited	macro	M10	M06	9	128	64	0.04918032786885246	w_c8aa82534e05dc80,w_9977306cc3994536,w_9f73d3436486bd59,w_1dc233460f682f8e,w_4c3b5856ae66ad33,w_500a287f07071ec8,w_22e0f6e0ecd808ae,w_ce9d14ed68420ed6,w_67e8416e326083ff
audited	macro	M02	M08	4	43	47	0.046511627906976744	w_c569341f9f7b5f6f,w_5cfae990f2e4ea0e,w_71088ab66e735f6d,w_67833e8bc8bb92f5
audited	macro	M04	M07	2	26	22	0.043478260869565216	w_4ea8cb6a3b5fed46,w_f4d58aaa5b0434b2
audited	macro	M10	M07	6	128	22	0.041666666666666664	w_4dde14dbe58ab00c,w_50a8d749e31274a5,w_97e9a7de7a56a516,w_d68d0884ffdb9426,w_a03de8e37b580793,w_49fbb6adb4c71e00
audited	macro	M01	M09	3	48	32	0.03896103896103896	w_63db75cd5e03c2b8,w_2b77293cdef4c93f,w_a124ea491b1e38a3
audited	macro	M04	M02	2	26	29	0.03773584905660377	w_f94f564014be4c25,w_29ea95f17f21c7ac
audited	macro	M04	M09	2	26	32	0.03571428571428571	w_3be7feda647d0399,w_9f42a69c53e47f06
audited	macro	M02	M05	3	43	55	0.031578947368421054	w_c14141577a386c75,w_e7fededba00d2282,w_6dca211542b22757
audited	macro	M02	M03	2	43	29	0.02857142857142857	w_6b8b0f146292001a,w_6d9aedbcf0365751
audited	macro	M10	M10	4	128	21	0.027586206896551724	w_a6ec62ef7863cd72,w_cfed60f0df988968,w_4c22283998c8f0ca,w_a11738764f341243
audited	macro	M01	M02	2	48	29	0.02666666666666667	w_28c10566bff3c19f,w_d930a0988351d6a9
audited	macro	M09	M10	1	18	21	0.02631578947368421	w_8dc658fd6956f31c
audited	macro	M02	M04	1	43	7	0.02040816326530612	w_78af69834e46633e
