corpus	level	adjusted_rand_index	normalized_mutual_information	coassignment_agreement	pairwise_distance_spearman	top_5_neighbor_overlap	top_10_neighbor_overlap
included	macro	0.4518476147423468	0.5999348141841839	0.8377926421404682	0.4244050855457544	0.4369565217391305	0.49999999999999994
included	subcluster	0.44653296838111556	0.7169086970024291	0.9271380793119923	0.4244050855457544	0.4369565217391305	0.49999999999999994
audited	macro	0.18006365044430586	0.36528203236324525	0.7723868446760013	0.4356265516280955	0.24804804804804803	0.27927927927927926
audited	subcluster	0.1401434647596665	0.4628311456762384	0.9159159159159159	0.4356265516280955	0.24804804804804803	0.27927927927927926
